instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario299,c4,2,0,1,2,0,60,100,60,40,40,80,1.0,False,0.892,0
scenario300,c4,2,0,1,2,0,60,100,80,40,100,80,1.0,False,0.932,0
scenario301,c4,2,0,1,2,0,60,100,60,40,40,80,1.0,True,0.0,1
scenario302,c4,2,0,1,2,0,40,100,60,40,20,80,0.8,True,0.0,1
scenario303,c4,2,0,1,2,0,80,100,40,60,80,80,1.0,True,0.0,1
scenario304,c4,1,0,2,0,0,60,80,60,60,20,80,1.0,True,0.0,1
scenario305,c4,1,0,2,0,20,40,20,40,20,40,60,1.0,True,0.0,1
scenario306,c4,1,2,2,0,100,80,100,60,40,20,60,1.0,True,0.0,1
scenario307,c4,2,0,1,2,0,60,0,40,20,80,80,1.0,True,0.0,1
scenario308,c4,2,0,1,0,0,60,100,60,60,20,100,1.0,False,3.068,0
scenario309,c1,0,1,1,2,20,80,100,40,40,20,80,1.0,False,4.532,0
scenario310,c1,0,1,1,2,0,60,100,80,60,60,80,0.8,False,5.118,0
scenario311,c2,0,1,2,1,0,40,100,60,40,20,100,1.0,False,3.511,0
scenario312,c4,1,2,2,0,0,20,100,60,20,60,100,1.0,True,0.0,1
