Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,fogdensity,fogdistance,wetness,roadfriction
scenario416,0,1,2,1,80,0,0,40,40,40,80,0.6
scenario417,2,0,1,2,100,60,20,40,20,20,100,0.2
scenario418,2,0,1,0,60,80,20,40,0,40,100,0.8
scenario419,1,2,0,1,80,60,60,20,0,80,100,0.8
scenario420,2,0,0,1,80,20,40,60,60,100,0,1
scenario421,2,0,0,1,0,0,80,60,40,0,0,0.6
scenario422,2,0,1,2,40,100,40,20,40,60,60,0.8
scenario423,2,0,1,0,40,100,40,0,60,60,80,0.8
scenario424,2,0,1,0,80,80,60,20,20,60,60,1
scenario425,2,0,1,2,40,100,100,20,20,40,0,0.1
scenario426,0,1,1,2,60,60,60,100,40,60,80,0.8
scenario427,1,2,0,2,20,0,60,100,40,20,20,0.2
scenario428,1,2,0,2,20,0,60,100,0,20,60,0.1
scenario429,2,0,0,1,20,0,80,80,20,40,20,0.2
scenario430,2,1,0,1,0,0,80,80,40,0,0,0.4
scenario431,2,0,1,2,60,0,80,0,40,100,20,0.8
scenario432,0,1,1,2,40,100,40,60,60,60,60,1
scenario433,2,0,1,2,40,100,40,20,40,60,60,0.8
scenario434,1,0,2,0,0,60,60,0,60,80,0,1
scenario435,0,1,2,1,60,100,60,40,40,60,40,0.8
scenario436,1,0,2,0,40,80,60,0,40,0,60,0.8
scenario437,2,0,1,2,20,0,40,40,0,60,40,1
scenario438,0,1,2,1,0,100,20,20,60,80,20,0.2
scenario439,2,0,1,2,40,100,40,20,20,80,60,1
scenario440,2,0,1,2,80,100,60,20,60,60,20,0.8
scenario441,2,0,1,2,60,100,20,40,60,60,40,0.8
scenario442,0,1,1,2,40,100,40,20,40,20,40,0.8
scenario443,1,0,2,0,40,100,20,20,40,60,60,0.8
scenario444,1,0,2,0,40,100,20,40,40,60,40,0.8
scenario445,2,0,1,2,40,100,40,20,40,60,60,0.8
scenario446,0,1,1,2,0,80,40,20,40,60,20,1
